transaction_info,merchant_name,Category,Predicted_Category
SAMI SUPERMARKET        Pretoria NorZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
APPAS TAVERN             NORTHCROFT  NZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
SIBONELE LIQUOR STORE   SOWETO      GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
METRO GENTS TAVERN      DURBAN      KZZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Dis-Chem Percelia       JHB         GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
S2S*Pridestore1knysna   Knysna      WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ENCO FILLING STATION    Polokwane   ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ONE STOP LIQUORS        Pongola     ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
ZIMBALI COUNTRY CLUB *  DURBAN      KNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
EC FRESH                Grahamstown ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Sweet  Salty    Grahamstown ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CHICKEN LICKEN           VANDERBIJLPRGZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MORNINGVIEW SERVICE     MORNINGSIDE GPZA,GiftCentral Card Issuer (POS),Transportation,Transportation
FISH AND CHIPS CO        KRUGERSDORP GZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SASOL SECUNDA CBD       Secunda     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BOOTLEGGER BREE STREET   CAPE TOWN   WZA,GiftCentral Card Issuer (POS),Tourism,Tourism
VIDA AQUA LANGEBAAN     CAPE TOWN   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MCD Tzaneen (685)       Tzaneen     LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
The Donut Centre 61728  Cape Town   ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CELLUCITY KENILWORTH E  CAPE TOWN   CTZA,GiftCentral Card Issuer (POS),Tourism,Tourism
BOBAAS BILTONG    6141  DULLSTROOM  MPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MYM Autoworld           JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
HENNIES BLOEMFONTEIN    BloemfonteinZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Liquor Shop Sitari      SB060634    WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Spar Naval Hill         Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ISTORE LOCH LOGAN51320  BloemfonteinZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Clt ILanga          Nelspruit   MPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MESH CLUB               ROSEBANK    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
WOOLWORTHS              WOODBURN SQ KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Truworths 0508          WC          WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
THE ECLIPSE BAR AND RE  Germiston   ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
JODY'S PLACE            PORT ELIZABEECZA,GiftCentral Card Issuer (POS),Transportation,Transportation
MR HYDES RESTAURANT &  PEast London EcZA,GiftCentral Card Issuer (POS),Tourism,Tourism
S2S*Messi               JohannesburgGTZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ZZ SUPERMARKET          PORT ELIZABEECZA,GiftCentral Card Issuer (POS),Transportation,Transportation
TONI MIDRAND            HALFWAY HOUS  ZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Hinterland Bloemfontei  Free State  FSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CALTEX WESTERING SS     PORTELIZABETECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ENGEN WOODMEAD          JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Plus Ester Park         Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *21 Legend Futu  Kempton ParkGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BIN RASHIED DIEP RIVER  CAPE TOWN   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
S2S*Six2ten             Durban      NLZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP HOME 5934 THE GLEN  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CRAZY PLASTICS THE GLE  JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
KFC SPRINGS GATE 13232  SPRINGS     ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KwikSpar Heldervue 2    Western CapeWCZA,GiftCentral Card Issuer (POS),Banking,Banking
ENGEN FLORIDA CONVENIE  Florida     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SASOL IEMAS              VANDERBIJL AWZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
TOTAL PETROPORT TOUWSR  Touws River ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *KwaMkhulus Pla  Soweto      GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Grahmsterdam    Makhanda    ECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ELDARADO SPUR           Pinetown    ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
V013-EDG CANAL WALK SB   Montague GaWCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Fam Waverly         Waverley    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
L247 - LGT Alex Mall    JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
McD Louis Botha         GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
YA YA CAFE               STELLENBOSC WZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
ROMANS PIZZA KEMPTONPA  KEMPTONPARK GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
SHELL NEW RD            UN          GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
McDonald's Midridge 03  Midrand     ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MIDAS MIDRAND           Midrand     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
OK EXPRE10000000116471  PORT SHEPSTOZAZA,GiftCentral Card Issuer (POS),Transportation,Transportation
TOTAL MIDRAND.          MIDRAND     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BRAS N THINGS EASTGATE  JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SEEMANN'S RANDBURG - A  RANDBURG    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Lapa Pub Fourways       FOURWAYS    GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
METRO CENTRE AND LINK  (BRAAMFONTEINGPZA,GiftCentral Card Issuer (POS),Transportation,Transportation
SMOKERS CASH & CARRY    Strand      ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Sterns Sammy Marks      JHB         GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
FRANSCHHOEK FHB HA8533  FRANSCHHOEK WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
OK FOODS SONSTRAAL (UR  CT          WCZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
Seattle Cape Road       Eastern CapeECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CALTEX FRESH STOP REDS TJACOBS      ECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Tops Sutherland         KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
WOOLWORTHS              VICTORY_PARKGPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Hungry Lion Umtata 1    Eastern CapeECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MrPrice Vanderbijlpark  GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BIG EAGLE SPUR           MTHATHA     EZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Nu Point (Virgin 35542  Cape Town   ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
BOOTLEGGER WATERFR9938  V AND A WATEWCZA,GiftCentral Card Issuer (POS),Banking,Banking
S2S*MasangoSuperma      JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
WD * Dr Shlomo Levine   Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Brewsky Coffee  JohannesburgGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
WARDS FUEL              STEYTLERVILLECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
DEBONAIRS LORRAINE      Port ElizabeECZA,GiftCentral Card Issuer (POS),Transportation,Transportation
PALN EVENTS SOLUTIONS    COSMO CITY  WZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PEDROS CHICKEN MALL OF  TEMBISA     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
S2S*AlBashirCorner      Klerksdorp  NWZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KFC KWT 1        51247  King WilliamZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
ON THE GREEN      7467  EAST LONDON ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KFC KING WILLIAMSTOWN   King WilliamZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
SHELL STIRLING MOTORS   East London ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Tops Cape Quarter       Western CapeWCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SWEET EXPRESS     1426  RUSTENBURG  NWZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ICG TRADING ENTERPRIS   MTHATHA     ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MUGG & BEAN              RANDBURG    GZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
LiquorShop Bay West     SB094687    ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
STEERS DAINFERN         BROADACRES DGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PARK MOTORS QUISKSHOP   STANDERTON  MPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Spar Gansbaai           Western CapeWCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MCD Polokwane CBD(275)  Polokwane   LPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Makro Montague          Cape Town   WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Yoco   *Vagabond Kitch  Cape Town   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
IKH*The 432 Holistic B  PORT ELIZABEECZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
SPAR PRELLER            BLOEMFONTEINFSZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MARANATA RETAIL CENTRE  Middelburg  ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CAPE FARM & WINE         CAPE TOWN   WZA,GiftCentral Card Issuer (POS),Tourism,Tourism
WOOLWORTHS              GREY OWL VILWCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PnP Clt Strand Square   Strand      WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Smoking Ace             JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
WIMPY WOODBURN          PietermaritzZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
CRAZY DETAILER   12592  FAIRLAND    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BRUG APTEEK             UN          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STEERS FONTAINBLEAU      FONTAINBLEA GZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
POSTNET BRENTWOOD PARK  Benoni      ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
LOVISA CAPEGATE         Western CapeWCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
QUEEN PET SHOP GLENFAI  GLENFAIR    GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
OCEAN BASKET BLUE HILL  MIDRAND     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Tops Noordwyk           Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CHINESE AND SUSHI TAKE  Pinetown    ZAZA,GiftCentral Card Issuer (POS),Banking,Banking
GOODFELLAS PIZZERI6152  JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KFC SOSH10000000111073  Soshanguve  ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
ENGEN GLENUGIE CON CTR  Clernaville ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SASOL ABBOTSFORD        East London ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MRP York Street         Western Cape09ZA,GiftCentral Card Issuer (POS),Banking,Banking
TIPPLES BAR AND GRILL   BELLVILLE   WCZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
ROPA TRADING            HONEYDEW    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
LA OMA SLAGHUIS 2       Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
VEGIE TOWN       10494  VEREENIGING GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KFC CIRC10000000126534  Mthatha     ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
OK EXPRESS GEORGE - AR CGEORGE      WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Mezepoli Melro  JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Fam Fraaiuitsig     Klein-BrakriWCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CCN*Robot 4 Tuck Sh     Tsakane     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP 6334 Springs        GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SUPERSPAR TSAKANE       Brakpan     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BAGEL ZONE              GAUTENG     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
TOTAL FORT BEAUFORT     FORT BEAUFORECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KABBO THE DREAM         Estcourt    ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
STEERS AMALINDA  12129  EAST LONDON ECZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
CRAZY STORE N4           CENTURION   GZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
BURGER KING JEAN AVE    CENTURION   GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MORNINGSIDE PIZZA AND   BRYANSTON   GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
CAPMOR                  Bryanston   ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
GOLDEN GOOSE FAMIL9175  VANDERBIJLPAGPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
JUNK DIY HARDWARE - AR  PONGOLA     ZNZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Spar Harrismith         Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MTN STORE THE GLEN       THE GLEN    WZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Starbucks Fresh X Rose  Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
EXCLUSIVE BOOKS ROSEBA  JohannesburgZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SMOKE                   Hazelwood   ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KAUAI CEDAR RETAIL      SANDTON     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
BP William Nicol        Emmerentia  GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
LEGACY ON THE DAM       HARTBEESPOORGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
CHATEAU GATEAUX THE GL  OAKDENE     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
LiquorShop Khayelitsha  SB037831    WPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite KhayelitshaSC  SB048903    WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Yoco   *Datadons        Cape Town   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
LiquorShop Valhalla     SB066711    NCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
EDEN TEC                Pretoria    ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
DNA EVENT MANAGEMENT     STELLENBOSC WZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Merkavasteynru  Cape Town   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Cafe Lim51000002203932  Durban        ZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Ackermans Koster Chopp  NW          NWZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PnP Crp Hayfields       PietermaritzKZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
VALUECO EASTGATE MALL   Bedfordview ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MR PEPPERS BILTONG TEC  STELLENBOSCHWCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
RED CLOUD INVESTMENTS   Lenasia     ZAZA,GiftCentral Card Issuer (POS),Technology,Technology
PnP Hpr Woodmead        Sandton     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
L519 - LGT PE GREENACR EPort ElizabeECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MICA THREE RIVERS41821  VEREENIGING ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
*BP THREE RIVERS*       VEREENIGING GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ROMANS PIZZA DRIE RIVI  EVEREENIGING GZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Chicken Licken Randgat  Gauteng     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
WOODMEAD MIDAS          JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEANUTS PET FOOD        ROODEPOORT  GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Drip Footwear Pavillio  Pavilion    ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
S2S*PowerSupermarket    PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Levys Restaura  Mabopane    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BONTLE BA TUMI'S PLACE  WINTERVELD  GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
IKH*Traditional Food C  Soshanguve  GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
S2S*Elyassupermarket    Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SHELL RANTENDAL MOTORS  Krugersdorp ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
NINAS REAL FOOD         EAST LONDON ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Clicks Fourways Pharm   JHB         GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
Jet Tygervalley         WC          WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
BP BOULDERS              HALFWAY HOUEWZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Total Rienert C          GP          GZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Clicks Sasolburg Blvd   JHB         GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
SIMPLY SECURE           JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Tops Rosehill           Eastern CapeECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP 8671 Pretoria       GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
ROMANS PIZZA ALEX MALL  JohannesburgGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PEDROS DOBSONVILLE      SOWETO      GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
DEBONAIRS CBD           SPRINGS     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Spar Ugie               Eastern CapeECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
OK SANLAM                BELLVILLE   WZA,GiftCentral Card Issuer (POS),Banking,Banking
JACKAL CREEK HALFWAY H  OHONEYDEW    GZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
iK *THE C CULTURE       GONUBIE     ECZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
WD * Pool Magic Edenva  JHB         GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
S2S*SizananiTucksh      JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STEYNSBURG SERVICE STA TSTEYNSBURG  ECZA,GiftCentral Card Issuer (POS),Transportation,Transportation
KWIKSPAR Ilala Ridge    KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Exp Edenburg        Sandton     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SPAR HENNOPS            CENTURION   GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
GOLD ROSE L ' CORRO SH  JohannesburgZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ERS LAVUMISA BORDER RO  SWAZILAND   SZSZ,GiftCentral Card Issuer (POS),Tourism,Tourism
THE VILLAGE HUB  10773  SCARBOROUGH WCZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
FORESTERS ARMS          CAPETOWN    WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Hpr Princess Cross  Roodepoort  GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BP BLUE ROUTE SERVICE  STokai       WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Vodacom Shop Hatfield   Pretoria    ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KFC TNT Savemore 1      Gauteng     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
FATIMA GENERAL STORE    Thohoyandou ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
KAUAI NEIGHBOURHOOD SQ  Bedford     ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
HABANERO MENLYN SCHISA  Lynnwood    ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Starbucks FX Sandton C  Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Paul`s Homemade Ice-Cr  SANDTON     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SUGARHILL - NEWLANDS    TZANEEN     LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
AE HONEYDEW             JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Lcl Randburg Sq     JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CALTEX WETTON           CAPE TOWN   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
HI Q BUTTERWORTH        UN          ECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Tops Ceres              Western CapeWCZA,GiftCentral Card Issuer (POS),Banking,Banking
WIMPY SONEIKE           KUILS RIVER WCZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MOZAMBIK FOURWAYS       SUNNINGHILL GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Urban bag               JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BP SPRUITVIEW           KATLEHONG   GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MCD East Rand Mall(327  Boksburg    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MM *KO Liquor Store     JohannesburgGPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
TFS WHOLESALERS LADYSM ILADYSMITH   KNZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Royale Eatery Harbour   Western CapeWCZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MENLYN MOTOR SERVICES   NEWLANDS    GPZA,GiftCentral Card Issuer (POS),Technology,Technology
GRUBHOUSE KOLONNADE     Montanapark ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
HARD HATS               MONTANA     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
*MOOT STREET MOTORS PT  DASPOORT    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
GOLFWAGEN SPARES-RANDB  UFERNDALE    GZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
THE RANGE               Bunkers HillZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Spitz Fourways          JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STR PARKING CT 194      SEA POINT     ZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
JOKER                   Roodepoort  ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
AE DEVON PLACE CSTORE   STELLENBOSCHWCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
AE Devon Place          Forecourt   WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
VAPERS CORNER EQUESTRI  EQUESTRIA   GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MrPriceS Ballito        CPT         WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
TONNESEN MOTORS         MONTAGUE GARWCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Crp Savannah        Polokwane   LPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
LiquorShop Esikhawini   SB059693    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
FAT CAKE CITY MIDRAND   NOORDHOEK   ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Shoprite Mandela Park   SB051221    FSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Kardoesie N7    Citrusdal   WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Spar Bromhof            Bromhof     ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CROSSROADS Q4 FUEL      Vereeniging ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Fam Port Shepstone  Port ShepstoKZZA,GiftCentral Card Issuer (POS),Transportation,Transportation
BUSY CORNER             4252101     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
S2S*Jhon4wey            Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Lynch Holdings  Randfontein GPZA,GiftCentral Card Issuer (POS),Banking,Banking
VODASHOP WONDERPARK     PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Hpr Wonderpark      Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
